num_of_process,activation,batch_size,epoch,loss
3,relu,1024,0,0.09889608658245952
3,relu,1024,1,0.053353804904107925
3,relu,1024,2,0.05025462658716309
3,relu,1024,3,0.047461952288306276
3,relu,1024,4,0.04495910470509521
3,relu,1024,5,0.042802978449589635
3,relu,1024,6,0.041081295355729845
3,relu,1024,7,0.039723523153757954
3,relu,1024,8,0.03864537612880869
3,relu,1024,9,0.03776571176228962
3,relu,1024,10,0.03704220242093529
3,relu,1024,11,0.03641891143661081
3,relu,2048,0,0.1413380742444941
3,relu,2048,1,0.05642110998215777
3,relu,2048,2,0.054177982988824445
3,relu,2048,3,0.05252485302178319
3,relu,2048,4,0.0509995536597396
3,relu,2048,5,0.049496837795476444
3,relu,2048,6,0.04810738266791285
3,relu,2048,7,0.04680793343342691
3,relu,2048,8,0.04556201567557112
3,relu,2048,9,0.044364315313667746
3,relu,2048,10,0.04328167473024239
3,relu,2048,11,0.042318622572573024
3,relu,2048,12,0.04145920145426262
3,relu,2048,13,0.040695286903076396
3,relu,4096,0,0.22341151316863306
3,relu,4096,1,0.05922651628811021
3,relu,4096,2,0.057092149974180606
3,relu,4096,3,0.055757683963328926
3,relu,4096,4,0.05464253496579946
3,relu,4096,5,0.05371818116329514
3,relu,4096,6,0.05291336426210173
3,relu,4096,7,0.052146984337695546
3,relu,4096,8,0.05138998112684331
3,relu,4096,9,0.0506254239041344
3,relu,4096,10,0.04987150917589544
3,relu,8192,0,0.3776484280834968
3,relu,8192,1,0.0691016191287549
3,relu,8192,2,0.060120241229343285
3,relu,8192,3,0.05833372138654095
3,relu,8192,4,0.0574526667177749
3,relu,8192,5,0.05672788384845539
3,relu,8192,6,0.05606322690509342
3,relu,8192,7,0.05544941926678113
3,relu,16384,0,0.6615373610493505
3,relu,16384,1,0.09371796472429789
3,relu,16384,2,0.07360795419496242
3,relu,16384,3,0.06458444566489688
3,relu,16384,4,0.06087239855802715
3,relu,16384,5,0.05936245818144841
3,relu,16384,6,0.05859420778107857
3,relu,16384,7,0.05807223689189315
3,relu,16384,8,0.05764599854751237
3,relu,16384,9,0.057260519508010595
3,relu,16384,10,0.056900250252944456
3,sigmoid,1024,0,0.18982714786235022
3,sigmoid,1024,1,0.05847922426808872
3,sigmoid,1024,2,0.056048715780666954
3,sigmoid,1024,3,0.05474427750739063
3,sigmoid,1024,4,0.053972958798148285
3,sigmoid,1024,5,0.05343319799023729
3,sigmoid,1024,6,0.052984126432850574
3,sigmoid,1024,7,0.05256623719433288
3,sigmoid,1024,8,0.05215696471209777
3,sigmoid,1024,9,0.05174563087672055
3,sigmoid,1024,10,0.05133019488287658
3,sigmoid,2048,0,0.3170319904553223
3,sigmoid,2048,1,0.06259808168363983
3,sigmoid,2048,2,0.059302055503102045
3,sigmoid,2048,3,0.05765760749538431
3,sigmoid,2048,4,0.056477831099952414
3,sigmoid,2048,5,0.055618424534051365
3,sigmoid,2048,6,0.05498408267576845
3,sigmoid,2048,7,0.05450376840216333
3,sigmoid,2048,8,0.05412754816726919
3,sigmoid,2048,9,0.05381859335611675
3,sigmoid,4096,0,0.5586355772605714
3,sigmoid,4096,1,0.0752461850836547
3,sigmoid,4096,2,0.06407357622289221
3,sigmoid,4096,3,0.06112042219674881
3,sigmoid,4096,4,0.05978889244962291
3,sigmoid,4096,5,0.058811216855160386
3,sigmoid,4096,6,0.0580037022008133
3,sigmoid,4096,7,0.05731188583308632
3,sigmoid,4096,8,0.0567275536663281
3,sigmoid,4096,9,0.05622744718340616
3,sigmoid,4096,10,0.05580117282565188
3,sigmoid,8192,0,0.9154472677990414
3,sigmoid,8192,1,0.20186405603998825
3,sigmoid,8192,2,0.08024520998495457
3,sigmoid,8192,3,0.07025452028763207
3,sigmoid,8192,4,0.06529422632638278
3,sigmoid,8192,5,0.06285020575971892
3,sigmoid,8192,6,0.0615395848817078
3,sigmoid,8192,7,0.06069911764776418
3,sigmoid,8192,8,0.06006075921757529
3,sigmoid,8192,9,0.05951715805760954
3,sigmoid,8192,10,0.05903186429275503
3,sigmoid,16384,0,0.9908967250091947
3,sigmoid,16384,1,0.8399963255998631
3,sigmoid,16384,2,0.3028043762641972
3,sigmoid,16384,3,0.10094320710225779
3,sigmoid,16384,4,0.08369255605186583
3,sigmoid,16384,5,0.07678884072936115
3,sigmoid,16384,6,0.07196722754419448
3,sigmoid,16384,7,0.06853906314836278
3,sigmoid,16384,8,0.0661348396285961
3,sigmoid,16384,9,0.06445492539723723
3,sigmoid,16384,10,0.06327510946358117
3,sigmoid,16384,11,0.062423446760086425
3,sigmoid,16384,12,0.06178875196099012
3,sigmoid,16384,13,0.0612881626294508
3,sigmoid,16384,14,0.06087715409174119
3,sigmoid,16384,15,0.060522330326273986
3,tanh,1024,0,0.08398680698729644
3,tanh,1024,1,0.053131679230752536
3,tanh,1024,2,0.05141351620628896
3,tanh,1024,3,0.04973673345686939
3,tanh,1024,4,0.048207061534955124
3,tanh,1024,5,0.04662767483174035
3,tanh,1024,6,0.04478205834142176
3,tanh,1024,7,0.042853901757038626
3,tanh,1024,8,0.041276528166181825
3,tanh,1024,9,0.04001229784918075
3,tanh,1024,10,0.03893114705152182
3,tanh,1024,11,0.03806945016213483
3,tanh,1024,12,0.03744882998197104
3,tanh,1024,13,0.037011577029653936
3,tanh,2048,0,0.11252710185870607
3,tanh,2048,1,0.05541273336550446
3,tanh,2048,2,0.05359587905303054
3,tanh,2048,3,0.05267058985932362
3,tanh,2048,4,0.051842325498849255
3,tanh,2048,5,0.05098470195897884
3,tanh,2048,6,0.050135206168045225
3,tanh,2048,7,0.04933699862864141
3,tanh,2048,8,0.04858083441550005
3,tanh,2048,9,0.04782927466419127
3,tanh,2048,10,0.047046096562896024
3,tanh,2048,11,0.04619833437604517
3,tanh,4096,0,0.16614773150588977
3,tanh,4096,1,0.058849296353069645
3,tanh,4096,2,0.05613529010416762
3,tanh,4096,3,0.054692910968722565
3,tanh,4096,4,0.05387044664266772
3,tanh,4096,5,0.05332054505439263
3,tanh,4096,6,0.052879348156063315
3,tanh,4096,7,0.05246432188276851
3,tanh,4096,8,0.05205364093055004
3,tanh,4096,9,0.051631852612816755
3,tanh,4096,10,0.05120147315315227
3,tanh,8192,0,0.269096252695824
3,tanh,8192,1,0.06318273974260481
3,tanh,8192,2,0.059767048054130446
3,tanh,8192,3,0.05793304467244769
3,tanh,8192,4,0.05661207593701795
3,tanh,8192,5,0.055654140045862076
3,tanh,8192,6,0.05495313249084984
3,tanh,8192,7,0.05443005256694968
3,tanh,8192,8,0.05403107374827084
3,tanh,16384,0,0.4631260839214036
3,tanh,16384,1,0.07500720169803159
3,tanh,16384,2,0.06463289371858351
3,tanh,16384,3,0.061735551041962766
3,tanh,16384,4,0.06030674689554904
3,tanh,16384,5,0.05922451026084272
3,tanh,16384,6,0.05831814414447243
3,tanh,16384,7,0.0575471846220793
3,tanh,16384,8,0.056892761141156906
3,tanh,16384,9,0.05633314135478634
3,tanh,16384,10,0.05585743110621214
4,relu,512,0,0.08397871086673457
4,relu,512,1,0.05102059412765646
4,relu,512,2,0.046841289273110986
4,relu,512,3,0.04334008809102022
4,relu,512,4,0.04073703144556397
4,relu,512,5,0.03890990958367485
4,relu,512,6,0.03757931505099606
4,relu,512,7,0.036577412711688184
4,relu,512,8,0.0357512694353222
4,relu,512,9,0.03512430049121961
4,relu,512,10,0.034627126755831565
4,relu,512,11,0.03423458222134025
4,relu,1024,0,0.11322413773212125
4,relu,1024,1,0.054699641277873176
4,relu,1024,2,0.05214498834353255
4,relu,1024,3,0.049871826833236634
4,relu,1024,4,0.04778239099852956
4,relu,1024,5,0.045880562476187714
4,relu,1024,6,0.044098692672952994
4,relu,1024,7,0.04256054249617596
4,relu,1024,8,0.0412687194029879
4,relu,1024,9,0.040188757541436866
4,relu,1024,10,0.039288375824036256
4,relu,1024,11,0.03852146666209179
4,relu,1024,12,0.03786227574922739
4,relu,2048,0,0.1689481275107561
4,relu,2048,1,0.05750427927540573
4,relu,2048,2,0.05546679131861932
4,relu,2048,3,0.0539378276885442
4,relu,2048,4,0.05271288257861847
4,relu,2048,5,0.05157560076795487
4,relu,2048,6,0.050430570116842266
4,relu,2048,7,0.04931739547003269
4,relu,2048,8,0.04827722708202928
4,relu,2048,9,0.04728746949969655
4,relu,2048,10,0.046339626584492186
4,relu,2048,11,0.04541467703356549
4,relu,2048,12,0.04451462946367258
4,relu,2048,13,0.04367621960311993
4,relu,2048,14,0.04291248563581835
4,relu,2048,15,0.042211371689552094
4,relu,4096,0,0.276295804524994
4,relu,4096,1,0.061606522870175186
4,relu,4096,2,0.05810471069497579
4,relu,4096,3,0.05690505615617853
4,relu,4096,4,0.05590539797635258
4,relu,4096,5,0.05502932906701212
4,relu,4096,6,0.05427172547988413
4,relu,4096,7,0.0536105579896667
4,relu,4096,8,0.05300549944451919
4,relu,4096,9,0.05242651002995524
4,relu,8192,0,0.47466876071337605
4,relu,8192,1,0.07765590102509566
4,relu,8192,2,0.06351965696830476
4,relu,8192,3,0.059673620823700195
4,relu,8192,4,0.05844970321990271
4,relu,8192,5,0.0577449164627668
4,relu,8192,6,0.05716317190512985
4,relu,8192,7,0.056640796908368166
4,relu,8192,8,0.05614084603861306
4,relu,8192,9,0.05565948589441516
4,relu,16384,0,0.8232382019861935
4,relu,16384,1,0.12618592725873315
4,relu,16384,2,0.08343290147907408
4,relu,16384,3,0.071876086240277
4,relu,16384,4,0.06522287043792618
4,relu,16384,5,0.061814984955703804
4,relu,16384,6,0.060127959735525635
4,relu,16384,7,0.05923009401107588
4,relu,16384,8,0.05866186612995911
4,relu,16384,9,0.05824292654518491
4,relu,16384,10,0.05789998231419182
4,relu,16384,11,0.05759204221207834
4,sigmoid,512,0,0.1463021164501207
4,sigmoid,512,1,0.05658811342143611
4,sigmoid,512,2,0.054541305786184185
4,sigmoid,512,3,0.05356434197627056
4,sigmoid,512,4,0.05288117618113091
4,sigmoid,512,5,0.05226139553836555
4,sigmoid,512,6,0.051644338790960184
4,sigmoid,1024,0,0.23267937593142574
4,sigmoid,1024,1,0.0599096891971941
4,sigmoid,1024,2,0.05734904641902347
4,sigmoid,1024,3,0.0558225897894396
4,sigmoid,1024,4,0.05485909611428143
4,sigmoid,1024,5,0.05421894559736565
4,sigmoid,1024,6,0.0537521524252773
4,sigmoid,1024,7,0.05337319245331158
4,sigmoid,1024,8,0.05303767492154015
4,sigmoid,1024,9,0.052720045356811754
4,sigmoid,2048,0,0.39917504699326833
4,sigmoid,2048,1,0.06613260738196543
4,sigmoid,2048,2,0.06076633028610205
4,sigmoid,2048,3,0.05904497288006259
4,sigmoid,2048,4,0.05782063084364291
4,sigmoid,2048,5,0.05686890016818597
4,sigmoid,2048,6,0.05611839886579336
4,sigmoid,2048,7,0.05552391083714851
4,sigmoid,2048,8,0.0550498710141117
4,sigmoid,2048,9,0.054662607075044445
4,sigmoid,2048,10,0.05435081882061357
4,sigmoid,2048,11,0.05408217862029273
