train_loss,epoch,rank
0.07363608386852946,0,0
0.05166134427695014,1,0
0.049188972973715966,2,0
0.04685725857547976,3,0
0.0440864725952335,4,0
0.04145376289668951,5,0
0.03955538327197676,6,0
0.03812000247458453,7,0
0.03720023121350736,8,0
0.03664903867848585,9,0
0.03629239027141444,10,0
0.036040738346457796,11,0
0.03585005656620692,12,0
0.035698281744413266,13,0
0.03557177066226329,14,0
0.035462276175726865,15,0
0.03536521896525269,16,0
0.035279805401482664,17,0
0.035203936403397015,18,0
0.03513539255640438,19,0
0.03507215596750665,20,0
0.03501369456585301,21,0
0.034959269099301575,22,0
0.034907259814691255,23,0
0.03485763219148759,24,0
0.03480885986854633,25,0
0.034760587972856166,26,0
0.03471133267759969,27,0
0.034662407857931905,28,0
0.03461238906763873,29,0
0.034559253922650614,30,0
0.034503453487505206,31,0
0.0344451749515593,32,0
0.034378655481663946,33,0
0.034303235133686286,34,0
0.03421013192726654,35,0
0.034094659245353716,36,0
0.033957462481112734,37,0
0.03379974174775864,38,0
0.03364039713304528,39,0
0.03350028299958764,40,0
0.033387447308652576,41,0
0.033309277852054446,42,0
0.03324923989879411,43,0
0.03320482484284088,44,0
0.03316720054648282,45,0
0.03313521612356294,46,0
0.03310773914132624,47,0
0.03308340249172201,48,0
0.0330590322831537,49,0
0.07441536520912449,0,1
0.051981695545602176,1,1
0.04948793612505248,2,1
0.04706671328637238,3,1
0.04404040619589739,4,1
0.04140611894920763,5,1
0.03950931118404165,6,1
0.0380819360770048,7,1
0.03720033230820944,8,1
0.03667123772248503,9,1
0.03630806415922997,10,1
0.03603825197570752,11,1
0.03583294960775747,12,1
0.0356677186034889,13,1
0.03552792890244409,14,1
0.035399238308804905,15,1
0.03527846577134295,16,1
0.03516222036852227,17,1
0.03505388189927464,18,1
0.034956284257757486,19,1
0.034870604060437106,20,1
0.034793872237059834,21,1
0.03472586756604101,22,1
0.03466654773070378,23,1
0.03461332354169662,24,1
0.03456486216043423,25,1
0.03452042266968755,26,1
0.034478010865565484,27,1
0.034440049870228945,28,1
0.03440256232736503,29,1
0.034366050646226595,30,1
0.034330746273882995,31,1
0.034295364794840175,32,1
0.0342612063549877,33,1
0.03422509557561319,34,1
0.03418942026280904,35,1
0.03415047773057558,36,1
0.034106119999397645,37,1
0.034051406440639864,38,1
0.03398655237729749,39,1
0.03390309873499683,40,1
0.0338061529311276,41,1
0.0337009575108236,42,1
0.03359966070682726,43,1
0.033512146246520116,44,1
0.03344344567991643,45,1
0.03338999395554803,46,1
0.03335184153292053,47,1
0.03332107065325509,48,1
0.033296993589871045,49,1
0.0743701931829619,0,2
0.05197637363803738,1,2
0.04955565247657954,2,2
0.047374277077451954,3,2
0.04510609656972782,4,2
0.04229184941315961,5,2
0.039917331866940346,6,2
0.038488763849159675,7,2
0.03765508963987748,8,2
0.037120634874657506,9,2
0.036722606063567385,10,2
0.036399500027506096,11,2
0.03613499671412167,12,2
0.0359158586640452,13,2
0.0357347461294615,14,2
0.035578818183768075,15,2
0.03544620099689789,16,2
0.0353311603793171,17,2
0.03522878592834182,18,2
0.035133137645946555,19,2
0.03503909926938577,20,2
0.034941231755644196,21,2
0.034838162650916674,22,2
0.03472231093165576,23,2
0.034593261767712956,24,2
0.03444473367024895,25,2
0.03427950271507655,26,2
0.034111575664226346,27,2
0.033956751211357855,28,2
0.03382531450152405,29,2
0.03371857370963878,30,2
0.03363075933028993,31,2
0.03355897530852419,32,2
0.03349969276385383,33,2
0.0334481129626893,34,2
0.033404104325793896,35,2
0.03336372749429745,36,2
0.03332715976152023,37,2
0.033295526928156176,38,2
0.03326447882121651,39,2
0.033236844039643595,40,2
0.033211050315607504,41,2
0.033186978797549234,42,2
0.033164287902428216,43,2
0.03314184456868911,44,2
0.03312227377883244,45,2
0.033104009364985754,46,2
0.033083921854122414,47,2
0.03306598147933125,48,2
0.03304956121175719,49,2
0.07518002192641518,0,3
0.051890429412507794,1,3
0.0494155769412276,2,3
0.04688596890258484,3,3
0.04370115809975343,4,3
0.0407341063051625,5,3
0.03891015989616839,6,3
0.03788331174588906,7,3
0.03728477834016817,8,3
0.03685846723534582,9,3
0.036505152460327275,10,3
0.036201734767651775,11,3
0.03595077862407296,12,3
0.03574777868762797,13,3
0.035591127497820424,14,3
0.03546981344624977,15,3
0.03537296719163126,16,3
0.03529579449445707,17,3
0.03522753366000394,18,3
0.035165454600938034,19,3
0.03510575319842484,20,3
0.035045058861840436,21,3
0.03498473264111933,22,3
0.03492109027595837,23,3
0.03485299290120345,24,3
0.03478329078783721,25,3
0.03470994642844645,26,3
0.03463979051592615,27,3
0.03457406889653595,28,3
0.03451208217242645,29,3
0.034457244023296654,30,3
0.03440641588529589,31,3
0.03435731092542765,32,3
0.034309682949525855,33,3
0.03426349105822232,34,3
0.03421803253617127,35,3
0.03417380023545259,36,3
0.03412947710564629,37,3
0.03408885753347917,38,3
0.034046120401927296,39,3
0.03400441433371647,40,3
0.0339648167219576,41,3
0.03392336826013542,42,3
0.03387837890985543,43,3
0.03382946131068364,44,3
0.033776072875213135,45,3
0.033717876851334545,46,3
0.03365548662588094,47,3
0.03359175934987472,48,3
0.03352582588757297,49,3
